"npi","organizationName","doingBusinessAs","authorizedOfficial","authorizedOfficialTitle","address1","address2","city","state","zip","phone","fax","confidenceScore","confidenceLevel","primaryCategory","detectedServices","providerTypes","taxonomyCodes","isChain","lastUpdated","status"
"1922378348","WELLNESS CENTER","","HOWARD MOSKOW","President","2720 E OAKLAND PARK BLVD","","FORT LAUDERDALE","FL","333061627","954-675-5189","",20,"Low","Aesthetic Practice","","Physical Therapist; Acupuncturist","225100000X; 171100000X","Unknown","2012-01-02","A"
"1114104031","WELLNESS CENTER ""LIMITED LIABILITY COMPANY""","","HOWARD MOSKOW","Manager","3315 NE 16TH ST","","FORT LAUDERDALE","FL","333041711","954-675-5189","954-565-6463",20,"Low","Aesthetic Practice","","Case Manager/Care Coordinator","171M00000X","Unknown","2008-01-28","A"
"1518508100","WELLNESS CENTER FOR HEALING LLC","","SAMANTHA HEWITT","CEO","1990 N FEDERAL HWY STE B","","POMPANO BEACH","FL","330621032","561-252-9389","954-366-1430",20,"Low","Aesthetic Practice","","Social Worker, Clinical; Psychiatry & Neurology, Addiction Psychiatry; Counselor, Addiction (Substance Use Disorder); Counselor, Mental Health; Clinical Neuropsychologist","1041C0700X; 2084P0802X; 101YA0400X; 101YM0800X; 103G00000X","Unknown","2019-10-04","A"
"1558863258","WELLNESS CENTER NORTH 1 LLC","","DENNIS ADORNATO","Member","7061 W COMMERCIAL BLVD","","LAUDERHILL","FL","33319","646-372-4606","754-212-0213",20,"Low","Aesthetic Practice","","Durable Medical Equipment & Medical Supplies","332B00000X","Unknown","2018-05-18","A"
"1174710289","WELLNESS CENTER OF NMB","","RAYMOND FAILER","PRESIDENT","1920 E HALLANDALE BEACH BLVD STE 508","","HALLANDALE BEACH","FL","330094723","305-244-7993","305-993-4832",20,"Low","Aesthetic Practice","","General Practice","208D00000X","Unknown","2019-01-15","A"
"1144624628","WELLNESS CENTER OF PALM BEACH","","JAYESH DAVE","CEO","2724 N AUSTRALIAN AVE BLDG 1","","WEST PALM BEACH","FL","334074501","954-263-1514","",20,"Low","Aesthetic Practice","","Substance Abuse Rehabilitation Facility","324500000X","Unknown","2014-10-13","A"
"1942697503","WELLNESS CENTER OF PALM BEACH HEALTH","","JAYEESH DAVE","Owner/CEO","2724 N AUSTRALIAN AVE BLDG 1","","WEST PALM BEACH","FL","334074501","561-557-9298","888-570-6904",20,"Low","Aesthetic Practice","","Clinic/Center, Health Services","261QH0100X","Unknown","2015-04-22","A"
"1750146189","WELLNESS CENTER OF TRINITY, LLC","","ROLAND RICHARDS","Executive Director","9309 MERCY WAY","","TRINITY","FL","346554428","727-999-5665","727-955-9665",20,"Low","Aesthetic Practice","","Assisted Living Facility","310400000X","Unknown","2024-02-15","A"
"1316350069","WELLNESS CENTERS OF SOUTH FLORIDA","","DANIEL JACOBS","CEO","534 DATURA ST","","WEST PALM BCH","FL","334015308","954-895-2862","",20,"Low","Aesthetic Practice","","Family Medicine","207Q00000X","Unknown","2014-06-10","A"
"1669862652","WELLNESS CENTERS OF TAMPA BAY, LLC","","PHYLLIS FRIEDRICH","President","5985 49TH ST N","","ST PETERSBURG","FL","337092111","727-408-3232","877-455-2764",20,"Low","Aesthetic Practice","","Family Medicine; Internal Medicine","207Q00000X; 207R00000X","Unknown","2015-01-28","A"
"1972993962","WELLNESS CENTERS OF TAMPA BAY, LLC","","PHYLLIS FRIEDRICH","President","10225 ULMERTON RD","SUITE 9A","LARGO","FL","337713538","727-408-3232","877-455-2764",20,"Low","Aesthetic Practice","","Family Medicine; Internal Medicine","207Q00000X; 207R00000X","Unknown","2015-01-28","A"
"1194356253","WELLNESS SPA AND MEDICAL CARE CENTER CORP","","FADY GIRGIS","President","7413 MIAMI LAKES DR","","MIAMI LAKES","FL","330146818","786-953-4031","",20,"Low","Aesthetic Practice","","Clinic/Center, Infusion Therapy","261QI0500X","Unknown","2020-01-28","A"
