practiceName,address,city,state,zip,providerCount,specialties,phones,estimatedSize,isNamedPractice
Practice at 41 EAST 57 ST,41 EAST 57 ST,NEW YORK,NY,10022,1,"Dentist, Orthodontics and Dentofacial Orthopedics",212-753-5575,small,
"ANNA MELISSA CONCEPCION, D.M.D., P.C.",158 E 58TH ST,NEW YORK,NY,100220002,1,"Dentist, General Practice",212-832-4110,small,1
Practice at 133 E 54TH ST,133 E 54TH ST,NEW YORK,NY,100224538,1,"Dentist, Prosthodontics",718-864-4465,small,
1995 BROADWAY DENTAL ARTS PLLC,1995 BROADWAY,NEW YORK,NY,100235882,1,Dentist,212-247-2330,small,1
71ST STREET SMILES PLLC,145 WEST 71ST STREET,NY,NY,10023,1,Dentist,212-579-0552,small,1
Practice at 33 W 60TH ST FL 4,33 W 60TH ST FL 4,NEW YORK,NY,100237905,5,Student in an Organized Health Care Education/Training Program,212-333-3444; 773-343-7990,medium,
Practice at 155 WEST 68TH STREET,155 WEST 68TH STREET,NEW YORK,NY,100235824,1,"Dentist, General Practice",212-724-6280,small,
Practice at 33 W 60TH ST,33 W 60TH ST,NEW YORK,NY,100237905,1,Student in an Organized Health Care Education/Training Program,212-333-3444,small,
Practice at 4800 S SAGINAW ST,4800 S SAGINAW ST,FLINT,MI,485072677,1,Student in an Organized Health Care Education/Training Program,810-732-8336,small,
Practice at 234 E 149TH ST,234 E 149TH ST,BRONX,NY,104515504,2,Student in an Organized Health Care Education/Training Program,201-899-6312; 718-579-5000,small,
ALAN DAVID FRANKEL DMD PC,277 W END AVE APT 1B,NEW YORK,NY,100232605,1,"Dentist, Orthodontics and Dentofacial Orthopedics",212-877-7177,small,1
Practice at 4 DEARFIELD DR,4 DEARFIELD DR,GREENWICH,CT,068315351,1,"Dentist, Orthodontics and Dentofacial Orthopedics",203-869-2044,small,
Practice at 101 WEST END AVE,101 WEST END AVE,NEW YORK,NY,10023,1,Student in an Organized Health Care Education/Training Program,646-241-3635,small,
Practice at 75 CENTRAL PARK W,75 CENTRAL PARK W,NEW YORK,NY,100236011,1,"Surgery, Plastic and Reconstructive Surgery",212-501-0600,small,
Practice at 630 W 168TH ST,630 W 168TH ST,NEW YORK,NY,100323725,1,Dentist,212-305-6100,small,
Practice at 1000 10TH AVE,1000 10TH AVE,NEW YORK,NY,100191147,1,Student in an Organized Health Care Education/Training Program,646-250-9442,small,
ANGELICA SILIVRIA DDS P.C.,205 WEST END AVE,NEW YORK,NY,10023,1,"Dentist, General Practice",646-414-6238,small,1
Practice at 101 W END AVE,101 W END AVE,NEW YORK,NY,100236349,1,"Dentist, Oral and Maxillofacial Radiology",646-541-9183,small,
Practice at 25 CENTRAL PARK W,25 CENTRAL PARK W,NEW YORK,NY,100237253,1,"Dentist, General Practice",212-207-6681,small,
Practice at 111 AMSTERDAM AVE,111 AMSTERDAM AVE,NEW YORK,NY,100237410,1,Student in an Organized Health Care Education/Training Program,212-523-4330,small,
Practice at 180 W END AVE APT 1D,180 W END AVE APT 1D,NEW YORK,NY,100234917,1,"Dentist, Pediatric Dentistry",212-362-5517,small,
"ATLANTIC AVENUE ORTHODONTICS, PLLC",2641 ATLANTIC AVE,BROOKLYN,NY,112072407,1,"Dentist, Orthodontics and Dentofacial Orthopedics",646-505-8852,small,1
"AUGUST AICHHORN CENTER FOR ADOLESCENT RESIDENTIAL CARE, INC.",23 W 106TH ST,NEW YORK,NY,100253806,1,Psychiatric Residential Treatment Facility,212-316-9353,small,1
Practice at 125 W 72ND ST RM 4R,125 W 72ND ST RM 4R,NEW YORK,NY,100233278,1,Student in an Organized Health Care Education/Training Program,310-560-6599,small,
Practice at 805 UNION STREET,805 UNION STREET,BROOKLYN,NY,11215,1,"Dentist, Oral and Maxillofacial Surgery",718-398-1969,small,
Practice at 1176 5TH AVE,1176 5TH AVE,NEW YORK,NY,100296503,1,Student in an Organized Health Care Education/Training Program,212-241-6500,small,
Practice at 2376 BROADWAY,2376 BROADWAY,NEW YORK,NY,100242801,1,"Dentist, General Practice",212-686-3686,small,
Practice at 20 W 87TH ST,20 W 87TH ST,NEW YORK,NY,100243526,1,Dentist,917-207-2774,small,
Practice at 5 E 98TH ST FL 5,5 E 98TH ST FL 5,NEW YORK,NY,100296501,1,Dermatology,212-241-9728,small,
ADVANCED DERMATOLOGY PC,130 W 86TH ST,NEW YORK,NY,100244040,1,Dermatology,212-787-2929,small,1
"AHMET ALTINER, MD, PC",107 W 82ND ST,NEW YORK,NY,100245511,3,Dermatology; Student in an Organized Health Care Education/Training Program,212-362-8012; 646-831-5967; 646-389-4112,small,1
Practice at 1250 WATERS PLACE,1250 WATERS PLACE,BRONX,NY,10461,1,Student in an Organized Health Care Education/Training Program,678-982-8175,small,
Practice at 3 TIMES SQ,3 TIMES SQ,NEW YORK,NY,100366564,1,Student in an Organized Health Care Education/Training Program,212-463-0400,small,
Practice at 622 W 168TH ST,622 W 168TH ST,NEW YORK,NY,100323720,1,Student in an Organized Health Care Education/Training Program,877-426-5637,small,
Practice at 6714 41ST AVE,6714 41ST AVE,WOODSIDE,NY,113778128,1,Student in an Organized Health Care Education/Training Program,718-458-4243,small,
"ASNIS DENTAL, PLLC",593 MERRICK RD,LYNBROOK,NY,115632349,1,Dentist,631-414-7927,small,1
"ASNIS DENTAL, PLLC",211 W 79TH ST,NEW YORK,NY,10024,1,"Dentist, Dental Public Health",212-799-7700,small,1
Practice at 525 W END AVE,525 W END AVE,NEW YORK,NY,100243207,1,Dentist,212-874-2880,small,
"950 PARK AVENUE PLASTIC SURGERY, P.L.L.C.",950 PARK AVE,NEW YORK,NY,100280320,2,"Surgery, Plastic and Reconstructive Surgery",212-203-8623,small,1
Practice at 234 E 85TH ST FL 5,234 E 85TH ST FL 5,NEW YORK,NY,100283001,1,Dermatology,212-241-6585,small,
Practice at 65 E 79TH ST,65 E 79TH ST,NEW YORK,NY,100750216,2,"Dentist, Endodontics",732-580-3362,small,
"ADRIAN W. LAU, DDS PLLC",2922 NORTHERN BLVD,LONG ISLAND CITY,NY,111014079,1,"Clinic/Center, Dental",914-418-4479,small,1
"ALAN BIENSTOCK, MD PC",46 E 82ND ST,NEW YORK,NY,100280305,1,Plastic Surgery,917-257-7560,small,1
Practice at 955 PARK AVE,955 PARK AVE,NEW YORK,NY,100280321,1,Dermatology,212-570-6800,small,
Practice at 1 BROOKDALE PLZ,1 BROOKDALE PLZ,BROOKLYN,NY,112123139,1,"Dentist, Oral and Maxillofacial Surgery",718-240-5000,small,
"Practice at BRONX-LEBANON HOSPITAL CENTER, 1650 GRAND CONCOURSE","BRONX-LEBANON HOSPITAL CENTER, 1650 GRAND CONCOURSE",BRONX,NY,10457,1,Student in an Organized Health Care Education/Training Program,718-590-1800,small,
"ANDREW PEREDO, MD, PC",1047 PARK AVE,NEW YORK,NY,100281002,1,Plastic Surgery,212-754-6363,small,1
Practice at 1560 GRAND CONCOURSE,1560 GRAND CONCOURSE,BRONX,NY,10457,1,Student in an Organized Health Care Education/Training Program,718-960-1417,small,
Practice at 1016 5TH AVE,1016 5TH AVE,NEW YORK,NY,100280132,1,Dermatology,212-535-5522,small,
Practice at 975 PARK AVE,975 PARK AVE,NEW YORK,NY,100280323,1,"Dermatology, Procedural Dermatology",212-772-9305,small,
"ARIELLE N.B. KAUVAR, M.D., P.C.",1044 5TH AVE,NEW YORK,NY,100280108,1,Dermatology,212-249-9440,small,1
Practice at 240 E 86TH ST,240 E 86TH ST,NEW YORK,NY,100283000,1,"Dentist, Oral and Maxillofacial Surgery",646-389-8772,small,
Practice at 7 E. 86TH ST.,7 E. 86TH ST.,NEW YORK,NY,10028,1,Student in an Organized Health Care Education/Training Program,804-868-5406,small,
Practice at 10 UNION SQ E STE 3A,10 UNION SQ E STE 3A,NEW YORK,NY,100033314,1,Student in an Organized Health Care Education/Training Program,212-241-8833,small,
Practice at 116 E 84TH ST,116 E 84TH ST,NEW YORK,NY,100280901,1,"Dentist, Pediatric Dentistry",212-988-4070,small,
Practice at 1035 PARK AVE,1035 PARK AVE,NEW YORK,NY,100280912,1,Plastic Surgery,212-289-9191,small,
Practice at 61 E 86TH ST,61 E 86TH ST,NEW YORK,NY,100281068,1,"Otolaryngology, Otolaryngology/Facial Plastic Surgery",212-339-2001,small,
Practice at 355 BARD AVE,355 BARD AVE,STATEN ISLAND,NY,103101699,1,Student in an Organized Health Care Education/Training Program,718-818-4636,small,
Practice at 1 GUSTAVE L LEVY PL,1 GUSTAVE L LEVY PL,NEW YORK,NY,100296504,1,Student in an Organized Health Care Education/Training Program,212-241-3209,small,
Practice at 411 W 114TH ST,411 W 114TH ST,NEW YORK,NY,100251710,1,Student in an Organized Health Care Education/Training Program,978-987-3380,small,
Practice at 130 E 77TH ST FL 6,130 E 77TH ST FL 6,NEW YORK,NY,100751851,5,Student in an Organized Health Care Education/Training Program,212-434-4763; 212-434-2246,medium,
Practice at 1600 ST LUKES BLVD,1600 ST LUKES BLVD,EASTON,PA,180455671,1,"Dermatology, MOHS-Micrographic Surgery",484-503-7546,small,
Practice at 130 E 77TH ST,130 E 77TH ST,NEW YORK,NY,100751851,7,Student in an Organized Health Care Education/Training Program,212-434-2150; 212-434-4763; 212-434-3284; 212-434-2710,medium,
Practice at 211 E 80TH ST FL 2,211 E 80TH ST FL 2,NEW YORK,NY,100750531,1,Dermatology,646-962-3376,small,
Practice at 759 CHESTNUT ST,759 CHESTNUT ST,SPRINGFIELD,MA,011990001,1,Student in an Organized Health Care Education/Training Program,413-794-0000,small,
Practice at 211 E 80TH ST,211 E 80TH ST,NEW YORK,NY,100750531,1,Dermatology,211-805-6421,small,
Practice at 1 ENGLE ST STE 102,1 ENGLE ST STE 102,ENGLEWOOD,NJ,076312941,1,"Dentist, General Practice",201-227-0516,small,
Practice at 100 EAST 77TH STREET,100 EAST 77TH STREET,NEW YORK,NY,100751914,1,Student in an Organized Health Care Education/Training Program,212-434-2624,small,
Practice at 100 EAST 77TH STREET,100 EAST 77TH STREET,NEW YORK,NY,10075,1,Student in an Organized Health Care Education/Training Program,212-434-2158,small,
Practice at 100 E 77TH ST,100 E 77TH ST,NEW YORK,NY,10075,1,Student in an Organized Health Care Education/Training Program,212-434-2000,small,
Practice at 111 E 77TH ST,111 E 77TH ST,NEW YORK,NY,100751802,1,Student in an Organized Health Care Education/Training Program,212-434-3431,small,
Practice at 13614 NORTHERN BLVD STE A,13614 NORTHERN BLVD STE A,FLUSHING,NY,113546511,1,"Dentist, General Practice",718-445-7030,small,
Practice at 898 PARK AVE,898 PARK AVE,NEW YORK,NY,100750234,1,"Dentist, General Practice",212-988-2955,small,
ABILITY BEYOND DISABILITY,480 BEDFORD ROAD,CHAPPAQUA,NY,10514,1,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",914-242-8720,small,1
Practice at 400 E MAIN ST,400 E MAIN ST,MOUNT KISCO,NY,105493417,1,Student in an Organized Health Care Education/Training Program,914-666-1931,small,
Practice at 400 E MAIN ST,400 E MAIN ST,MOUNT KISCO,NY,105493477,1,Student in an Organized Health Care Education/Training Program,914-666-1931,small,
Practice at 37 MEMORIAL DR,37 MEMORIAL DR,CHAPPAQUA,NY,10514,1,Dentist,914-238-3600,small,
"CHAPPAQUA DENTISTRY, P.C.",30 N GREELEY AVE,CHAPPAQUA,NY,105143410,2,"Clinic/Center, Dental; Dentist, Prosthodontics",914-238-8200,small,1
Practice at 56 DOYER AVE STE 1A,56 DOYER AVE STE 1A,WHITE PLAINS,NY,106051642,1,"Dentist, Endodontics",914-948-3335,small,
Practice at 8 HIGHLAND AVE,8 HIGHLAND AVE,CHAPPAQUA,NY,105143413,1,"Dentist, General Practice",914-238-8552,small,
Practice at 59 S GREELEY AVE,59 S GREELEY AVE,CHAPPAQUA,NY,105143321,1,"Dentist, Pediatric Dentistry",917-612-0579,small,
Practice at 229 KING ST,229 KING ST,CHAPPAQUA,NY,105143461,1,Dermatology,914-238-1500,small,
Practice at 1101 MAIN STREET,1101 MAIN STREET,PEEKSKILL,NY,10566,1,Student in an Organized Health Care Education/Training Program,914-737-7338,small,
HARBOR POINT DENTAL AT CHAPPAQUA CROSSING,480 BEDFORD RD # D4,CHAPPAQUA,NY,105141715,1,"Dentist, General Practice",203-548-0826,small,1
Practice at 4802 10TH AVE,4802 10TH AVE,BROOKLYN,NY,112192916,1,Student in an Organized Health Care Education/Training Program,718-283-6000,small,
Practice at 1 ATWELL RD,1 ATWELL RD,COOPERSTOWN,NY,133261301,1,Student in an Organized Health Care Education/Training Program,607-547-3456,small,
"JEFFREY JACOBSON, M.D., P.C.",19 BRADHURST AVE,HAWTHORNE,NY,10532,2,Plastic Surgery,914-421-0123,small,1
Practice at 360 FEDERAL RD,360 FEDERAL RD,BROOKFIELD,CT,068042406,1,"Dentist, Endodontics",203-775-3344,small,
ADVANCED DENTISTRY OF WESTCHESTER,163 HALSTEAD AVE,HARRISON,NY,105283655,1,Dentist,914-835-0542,small,1
Practice at 77 QUAKER RIDGE RD,77 QUAKER RIDGE RD,NEW ROCHELLE,NY,108042808,1,Dentist,914-636-4118,small,
ARPITA PATEL DDS PLLC,5 DURHAM RD STE C3,GUILFORD,CT,064372076,1,"Dentist, Prosthodontics",347-749-0483,small,1
Practice at 26 PONDFIELD RD WEST,26 PONDFIELD RD WEST,BRONXVILLE,NY,10708,1,"Dentist, Periodontics",914-779-7711,small,
Practice at 550 MAMARONECK AVE STE 101,550 MAMARONECK AVE STE 101,HARRISON,NY,105281612,1,Dermatology,914-723-8100,small,
Practice at 757 WESTWOOD PLZ,757 WESTWOOD PLZ,LOS ANGELES,CA,900958358,1,Student in an Organized Health Care Education/Training Program,310-267-9641,small,
"BRADLEY SCHNEBEL, DMD, PLLC",450 MAMARONECK AVE,HARRISON,NY,105282400,1,"Dentist, Orthodontics and Dentofacial Orthopedics",914-732-3777,small,1
Practice at 450 MAMARONECK AVE STE 403,450 MAMARONECK AVE STE 403,HARRISON,NY,105282430,1,"Dentist, Pediatric Dentistry",914-777-1140,small,
Practice at 47-49 HALSTEAD AVE. #101,47-49 HALSTEAD AVE. #101,HARRISON,NY,10528,1,"Dentist, Prosthodontics",914-698-3800,small,
"COSMETIC PHYSICIANS OF WESTCHESTER, PLLC",440 MAMARONECK AVE,HARRISON,NY,10528,1,Dermatology,914-777-1799,small,1
Practice at 287 HARRISON AVE,287 HARRISON AVE,HARRISON,NY,105283301,1,"Dentist, General Practice",914-835-3232,small,
"ABADIR ASSOCIATES, M.D., P.C.",90 S RIDGE ST # LL3,RYE BROOK,NY,105732867,1,Dermatology,914-937-5500,small,1
Practice at 90 S RIDGE ST,90 S RIDGE ST,RYE BROOK,NY,105732867,1,Dermatology,914-937-5500,small,
Practice at 1650 GRAND CONCOURSE,1650 GRAND CONCOURSE,BRONX,NY,104577606,2,Student in an Organized Health Care Education/Training Program,718-901-8203; 718-590-1800,small,
Practice at 57 W 57TH ST,57 W 57TH ST,NEW YORK,NY,100192802,1,"Dentist, Prosthodontics",646-735-1575,small,
Practice at 118 SOUTH RIDGE ST,118 SOUTH RIDGE ST,RYE BROOK,NY,10573,1,Dentist,914-937-6040,small,
Practice at NYU LANGONE MEDICAL CENTER,NYU LANGONE MEDICAL CENTER,NEW YORK,NY,10010,1,Dermatology,212-263-5250,small,
Practice at 210 WESTCHESTER AVE,210 WESTCHESTER AVE,WHITE PLAINS,NY,106042901,1,"Pathology, Dermatopathology",914-831-6813,small,
Practice at 26 VALLEY TER,26 VALLEY TER,PORT CHESTER,NY,105732410,1,Student in an Organized Health Care Education/Training Program,347-361-7444,small,
ASNIS DENTAL PLLC,90 S RIDGE ST,RYE BROOK,NY,105732811,1,Dentist,914-925-1099,small,1
Practice at 90 S RIDGE ST STE LL-9A,90 S RIDGE ST STE LL-9A,RYE BROOK,NY,105732836,1,"Dentist, Pediatric Dentistry",914-925-1099,small,
Practice at 10500 UNIVERSITY CENTER DR STE 200,10500 UNIVERSITY CENTER DR STE 200,TAMPA,FL,336126497,1,"Pathology, Dermatopathology",800-929-6694,small,
Practice at 220 WESTCHESTER AVE,220 WESTCHESTER AVE,PORT CHESTER,NY,105734557,1,"Dentist, General Practice",914-935-0588,small,
BRIJLALL DENTAL PLLC,20 WESTCHESTER AVE,PORT CHESTER,NY,105734325,2,"Dentist, Pediatric Dentistry",914-481-3978,small,1
Practice at 100 MIDLAND AVE,100 MIDLAND AVE,PORT CHESTER,NY,105734943,1,"Pathology, Dermatopathology",800-942-3376,small,
Practice at 24 WASHINGTON AVENUE,24 WASHINGTON AVENUE,SOUTH NYACK,NY,10960,1,"Dentist, Endodontics",845-727-4122,small,
"CARLA WEISFELD DDS, P.C.",110 WILLETT AVE,PORT CHESTER,NY,105734282,1,Dentist,914-937-3733,small,1
"CHI D FU, DDS, PLLC",395 WESTCHESTER AVE,PORT CHESTER,NY,105733651,2,"Clinic/Center, Dental; Dentist, General Practice",914-937-2810,small,1
Practice at 550 1ST AVE,550 1ST AVE,NEW YORK,NY,100166402,2,Student in an Organized Health Care Education/Training Program,212-263-5506,small,
260 MAIN ST PORTLAND INC,260 MAIN ST,PORTLAND,CT,064801859,1,"Clinic/Center, Dental",860-342-2176,small,1
3885 MAIN ST BRIDGEPORT DENTAL INC,3885 MAIN ST STE 101,BRIDGEPORT,CT,066062814,1,"Dentist, General Practice",203-663-2772,small,1
A & B SCARSDALE DENTAL PLLC,130 GARTH RD,SCARSDALE,NY,105833750,1,"Dentist, General Practice",914-472-1555,small,1
"Practice at 1075 CENTRAL PARK AVENUE, SUITE 207","1075 CENTRAL PARK AVENUE, SUITE 207",SCARSDALE,NY,10553,1,"Dentist, Oral and Maxillofacial Surgery",914-472-5252,small,
Practice at 1075 CENTRAL PARK AVE,1075 CENTRAL PARK AVE,SCARSDALE,NY,105833242,3,"Dentist, General Practice; Dentist, Pediatric Dentistry",914-722-0511; 914-713-0535; 914-722-5100,small,
Practice at 185 S ORANGE AVE,185 S ORANGE AVE,NEWARK,NJ,071032757,1,Student in an Organized Health Care Education/Training Program,732-445-4636,small,
Practice at 455 CENTRAL PARK AVE STE 2,455 CENTRAL PARK AVE STE 2,SCARSDALE,NY,105831034,1,"Dentist, General Practice",914-358-5700,small,
Practice at 130 PONDFIELD RD STE 11,130 PONDFIELD RD STE 11,BRONXVILLE,NY,107084016,1,Plastic Surgery,914-776-0505,small,
"AL-HUSAINI PLASTIC & RECONSTRUCTIVE SURGERY, P.C.",955 YONKERS AVE,YONKERS,NY,107043060,1,Plastic Surgery,914-776-0505,small,1
"ALL COUNTY ENDODONTICS, PC",112 WESTMINSTER RD,SCARSDALE,NY,105832425,1,"Dentist, Endodontics",914-768-9017,small,1
Practice at 4250 BROADWAY,4250 BROADWAY,NEW YORK,NY,100333750,1,"Dentist, General Practice",212-795-0765,small,
Practice at 1775 DEMPSTER ST # 48,1775 DEMPSTER ST # 48,PARK RIDGE,IL,600681143,1,Student in an Organized Health Care Education/Training Program,847-723-2210,small,
Practice at 2985 NAVAJO ST.,2985 NAVAJO ST.,YORKTOWN HEIGHTS,NY,10598,1,"Dentist, Pediatric Dentistry",914-243-2323,small,
Practice at 14 HARWOOD CT,14 HARWOOD CT,SCARSDALE,NY,105834121,1,"Dentist, Periodontics",914-472-1190,small,
